signature	exon	C>A	C>G	C>T	T>A	T>C	T>G
SBS4	F	1	0	0	0	0	0
SBS5	F	0	0	0	0	1	0
SBS7a	F	0	0	-1	0	0	0
SBS7b	F	0	0	-1	0	0	0
SBS7c	F	0	0	0	-1	-1	0
SBS7d	F	0	0	0	0	-1	0
SBS8	F	1	0	0	0	0	0
SBS12	F	0	0	0	0	1	0
SBS16	F	0	0	0	0	1	0
SBS19	F	0	0	1	0	0	0
SBS21	F	0	0	0	0	-1	0
SBS22	F	0	0	0	1	0	0
SBS23	T	0	0	1	0	0	0
SBS24	F	1	0	0	0	0	0
SBS25	T	0	0	0	1	0	0
SBS26	F	0	0	0	0	-1	0
SBS27	F	0	0	0	1	0	0
SBS31	F	0	0	1	0	0	0
SBS32	F	0	0	1	0	0	0
SBS33	F	0	0	0	0	-1	0
SBS35	F	1	0	0	0	0	0
SBS42	T	1	0	1	0	0	0
SBS44	F	0	0	0	0	0	-1
SBS46	T	0	0	0	0	1	0
SBS47	F	0	0	0	-1	0	1
SBS50	F	-1	0	0	0	0	0
SBS51	F	1	0	-1	1	0	0
SBS57	F	0	0	0	0	-1	-1
