Unique Name	Descriptor	Wide Peak Limits	Peak Limits	Region Limits	q values	Residual q values after removing segments shared with higher peaks	Broad or Focal	Amplitude Threshold
Amplification Peak  1	1p34.3	chr1:38827251-38855750(probes 3962:3966)	chr1:38836251-38850250(probes 3963:3965)	chr1:38451251-38955250(probes 3917:3980)	0.014455	0.014455	NA	0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9
Amplification Peak  2	1q21.2	chr1:150322701-150618150(probes 13102:13136)	chr1:150426951-150602950(probes 13115:13133)	chr1:145430951-152710859(probes 12777:13363)	0.0047128	0.0047128	NA	0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9
Amplification Peak  3	2p23.3	chr2:26030276-63381363(probes 26235:30218)	chr2:27532151-27632150(probes 26404:26414)	chr2:27532151-27660900(probes 26404:26417)	0.19839	0.19839	NA	0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9
Amplification Peak  4	3q26.2	chr3:169646552-169782479(probes 66439:66453)	chr3:169652551-169772550(probes 66440:66452)	chr3:142830451-198295559(probes 63529:69531)	2.7257e-18	3.2931e-16	NA	0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9
Amplification Peak  5	3q29	chr3:193084701-198295559(probes 69009:69531)	chr3:196114051-196138050(probes 69316:69319)	chr3:142830451-198295559(probes 63529:69531)	2.5014e-8	0.011152	NA	0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9
Amplification Peak  6	6p23	chr6:13103218-20152506(probes 109083:109851)	chr6:13411551-14175550(probes 109120:109200)	chr6:1-24180675(probes 107699:110300)	1.374e-4	1.374e-4	NA	0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9
Amplification Peak  7	7q36.3	chr7:130757246-159345973(probes 139124:142172)	chr7:156894851-157120850(probes 141911:141934)	chr7:156785851-159345973(probes 141897:142172)	0.067217	0.067217	NA	0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9
Amplification Peak  8	8p11.21	chr8:41485051-42115550(probes 146598:146674)	chr8:42010051-42074050(probes 146661:146668)	chr8:40742051-42410050(probes 146512:146709)	0.0070372	0.018871	NA	0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9
Amplification Peak  9	8q12.1	chr8:56098751-56324150(probes 148019:148042)	chr8:56108751-56315750(probes 148020:148041)	chr8:51595751-57786449(probes 147510:148208)	0.0038241	0.13663	NA	0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9
Amplification Peak 10	8q24.21	chr8:124335551-130517138(probes 155382:156056)	chr8:128070551-128087550(probes 155791:155793)	chr8:90104451-145138636(probes 151683:157653)	1.3542e-15	3.0975e-10	NA	0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9
Amplification Peak 11	8q24.3	chr8:138532187-145138636(probes 156938:157653)	chr8:144428351-144533350(probes 157577:157589)	chr8:90104451-145138636(probes 151683:157653)	4.6294e-11	0.005037	NA	0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9
Amplification Peak 12	11q14.1	chr11:75578576-79110532(probes 190977:191377)	chr11:77116451-77671450(probes 191148:191205)	chr11:69126151-82967350(probes 190255:191806)	4.6313e-5	5.7904e-4	NA	0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9
Amplification Peak 13	11q22.2	chr11:102402152-102504900(probes 193941:193952)	chr11:102411151-102495150(probes 193942:193951)	chr11:95946151-102987050(probes 193227:194012)	9.5793e-4	0.012491	NA	0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9
Amplification Peak 14	12p13.31	chr12:4962486-5407472(probes 197974:198021)	chr12:5348251-5398250(probes 198015:198020)	chr12:4639251-6085150(probes 197940:198100)	0.043843	0.043843	NA	0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9
Amplification Peak 15	14q11.2	chr14:1-22503050(probes 221470:221705)	chr14:20591051-20677050(probes 221541:221550)	chr14:20374051-21222049(probes 221515:221611)	0.14386	0.14386	NA	0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9
Amplification Peak 16	17q25.3	chr17:75174169-83257441(probes 254568:255425)	chr17:81358051-81521050(probes 255223:255240)	chr17:76732051-83257441(probes 254733:255425)	0.038424	0.038424	NA	0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9
Amplification Peak 17	19p13.13	chr19:13333651-13461500(probes 264894:264911)	chr19:13376251-13453250(probes 264900:264910)	chr19:10830251-17899249(probes 264593:265448)	3.2986e-6	1.6325e-5	NA	0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9
Amplification Peak 18	19q12	chr19:29756484-29899150(probes 266539:266557)	chr19:29766151-29893150(probes 266540:266556)	chr19:24330251-34292109(probes 266191:267150)	1.5139e-13	1.159e-11	NA	0: t<0.1; 1: 0.1<t< 0.9; 2: t>0.9
