chrom	start	end
chr1	12273751	13249750
chr1	16537751	16951750
chr1	143560451	143851450
chr1	161594651	161652650
chr1	196764151	196835150
chr1	248561851	248636850
chr4	4105151	4160150
chr4	9100251	9127250
chr4	63266451	63291450
chr4	63826451	63850450
chr4	69260451	69368450
chr5	694951	849950
chr5	32103551	32169550
chr5	97709651	97762650
chr5	140839851	140861850
chr5	150820751	150845750
chr6	29880551	29940550
chr6	66296651	66341650
chr6	137574051	137647050
chr10	46151751	46812750
chr12	8206251	8241250
chr12	11351251	11394250
chr12	31113851	31256850
chr14	18668151	19959550
chr14	23971851	24018850
chr14	105597151	105715850
chr16	14899501	15032500
chr16	19931501	19958500
chr16	21499501	21585500
chr16	22537501	22702500
chr16	32380151	32837150
chr16	32888151	33343150
chr16	35227751	35525750
chr16	55760251	55790250
chr16	70118251	70169250
chr16	74357251	74429250
chr17	16752251	16847250
chr17	36106451	36461450
chr17	46085551	46546550
chr19	20410751	20537750
chr19	40841551	40876550
chr19	42785551	42865550
chr19	43195551	43263550
chr19	53012651	53051650
chr19	54747651	54869650
chr3	65200351	65231350
chr3	75371951	75595950
chr3	125723951	125744950
chr3	162791351	162911350
chr3	173518951	173574950
chr7	6860751	6885750
chr7	65794751	65825750
chr7	142062651	142096650
chr11	7787851	7813850
chr11	18919351	18944350
chr11	55181251	55218250
chr11	81786851	81812850
chr13	16000501	18341350
chr13	57175751	57215750
chr13	68667751	68696750
chr13	83526751	83586750
chr15	24424651	24479650
chr15	34423451	34529450
chr15	97268951	97294950
chr21	8681851	8993850
chr21	9014851	9044850
chr21	9732551	10653350
chr21	13073051	13157050
chr21	13867051	13890050
chr22	38960251	38993250
chr22	42505251	42557250
chr22	42557251	42581250
chr2	89945351	90242350
chr9	41651851	42580850
chr9	69481351	69508350
chr20	29261951	29586950
chr20	29883951	30272950
