"ID"	"Gene"	"chr"	"start"	"end"	"strand"	"band"	"type"
"ENSG00000277234"	"RNU1-5P"	"1"	16873708	16873851	1	"p36.13"	"snRNA"
"ENSG00000239149"	"SNORA59A"	"1"	12507246	12507397	1	"p36.21"	"snoRNA"
"ENSG00000283789"	"MIR7846"	"1"	12166943	12167038	1	"p36.22"	"miRNA"
"ENSG00000221545"	"MIR1255B2"	"1"	167998660	167998726	1	"q24.2"	"miRNA"
"ENSG00000266203"	"MIR5585"	"1"	32086949	32087007	1	"p35.2"	"miRNA"
"ENSG00000221390"	"MIR1295A"	"1"	171101728	171101806	-1	"q24.3"	"miRNA"
"ENSG00000274978"	"RNU11"	"1"	28648600	28648733	1	"p35.3"	"snRNA"
"ENSG00000263908"	"MIR3116-1"	"1"	62078786	62078859	1	"p31.3"	"miRNA"
"ENSG00000207590"	"MIR215"	"1"	220117853	220117962	-1	"q41"	"miRNA"
"ENSG00000283676"	"MIR5087"	"1"	148334479	148334554	-1	"q21.2"	"miRNA"
"ENSG00000283881"	"MIR3916"	"1"	247201967	247202060	-1	"q44"	"miRNA"
"ENSG00000251785"	"RNA5SP20"	"1"	77614869	77614952	1	"p31.1"	"rRNA_pseudogene"
"ENSG00000278596"	"MIR6077"	"1"	148388282	148388363	1	"q21.2"	"miRNA"
"ENSG00000283799"	"MIR1182"	"1"	231019828	231019924	-1	"q42.2"	"miRNA"
"ENSG00000264773"	"MIR4420"	"1"	30739156	30739232	-1	"p35.2"	"miRNA"
"ENSG00000221680"	"MIR1278"	"1"	193136503	193136583	1	"q31.2"	"miRNA"
"ENSG00000252151"	"RNU6-1265P"	"1"	14124233	14124335	-1	"p36.21"	"snRNA"
"ENSG00000252231"	"RNA5SP67"	"1"	173921070	173921200	1	"q25.1"	"rRNA_pseudogene"
"ENSG00000206654"	"RNU6-608P"	"1"	39120940	39121043	-1	"p34.3"	"snRNA"
"ENSG00000252262"	"RNA5SP61"	"1"	162338643	162338742	1	"q23.3"	"rRNA_pseudogene"
"ENSG00000199831"	"RN7SKP291"	"1"	55376526	55376852	-1	"p32.3"	"misc_RNA"
"ENSG00000206585"	"RNVU1-7"	"1"	148038753	148038916	-1	"q21.2"	"snRNA"
