symbol	chrom	start	length	strand	score	exons
A1BG	chr19	58346805	6694	-	31	0,224,323,288,2729,282,739,297,595,273,372,270,94,36,76,96
NAT2	chr8	18391244	9969	+	678	0,101,8652,1216
ADA	chr20	44619518	32240	-	231	0,329,451,103,616,130,1440,65,176,102,76,72,1123,128,1239,116,771,144,2447,123,7057,62,15286,184
CDH2	chr18	27950962	226484	-	307	0,1397,10997,165,19422,140,1916,234,294,234,2762,143,1430,254,2304,186,659,138,9359,173,2679,145,3723,156,1973,147,1690,227,22560,116,111087,112,29178,484
AKT3	chr1	243488232	355352	-	189	0,218,11268,5616,6989,103,33083,88,7131,215,10776,129,9077,123,40622,69,1356,66,22449,132,8150,145,18734,112,30707,126,147408,158,261,41
GAGE12F	chrX	49341113	188872	+	1	0,142,1040,92,465,121,2823,126,183946,117
GAGE12F	chrX	49532142	7399	+	1	0,142,1039,92,465,121,2822,126,2475,117
GAGE12F	chrX	49541698	7399	+	1	0,142,1039,92,465,121,2822,126,2475,117
GAGE12F	chrX	49551254	7395	+	1	0,142,1039,92,465,121,2822,126,2471,117
GAGE12F	chrX	49560807	7401	+	1	0,142,1039,92,465,121,2828,126,2471,117
GAGE12F	chrX	49570365	7392	+	1	0,142,1039,92,465,121,2823,126,2467,117
RNA5-8SN5	chr21	8212570	157	+	35	0,157
RNA5-8SN5	chr21	8256779	157	+	35	0,157
RNA5-8SN5	chr21	8395605	157	+	35	0,157
RNA5-8SN5	chr21	8439821	157	+	35	0,157
RNA18SN5	chr21	8209630	1869	+	38	0,1869
RNA18SN5	chr21	8392665	1869	+	38	0,1869
RNA18SN5	chr21	8436875	1869	+	38	0,1869
RNA28SN5	chr21	8213887	188093	+	39	0,748,44223,1410,138799,2913
RNA28SN5	chr21	8441145	5066	+	39	0,5066
POU5F1P5	chr10	68009946	937	-	4	0,937
ZBTB11-AS1	chr3	101676429	2784	+	4	0,2784
MED6	chr14	70583220	17470	-	56	0,1723,812,28,5482,116,1498,130,286,83,3232,92,915,160,2838,75
NR2E3	chr15	71810547	7709	+	56	0,314,621,127,156,104,85,222,159,176,877,247,376,918,2622,705
NAALAD2	chr11	90134649	57962	+	12	0,191,718,112,11659,187,1489,102,1374,126,1690,187,5660,94,1000,99,3611,86,275,120,105,83,5311,64,1076,68,3687,92,2056,91,1790,265,3502,82,1214,93,8549,1054
DUXB	chr16	75693892	7567	-	4	0,633,1435,155,722,106,3071,155,1224,66
SNORD116-1	chr15	25051475	97	+	9	0,97
SNORD116-2	chr15	25054208	97	+	3	0,97
SNORD116-2	chr15	25065024	98	+	3	0,98
SNORD116-3	chr15	25056858	97	+	3	0,97
SNORD116-3	chr15	25073105	97	+	3	0,97
SNORD116-4	chr15	25059536	98	+	4	0,98
SNORD116-5	chr15	25062331	97	+	4	0,97
SNORD116-5	chr15	25067786	97	+	4	0,97
SNORD116-6	chr15	25065024	98	+	5	0,98
SNORD116-7	chr15	25062331	97	+	4	0,97
SNORD116-7	chr15	25067786	97	+	4	0,97
SNORD116-8	chr15	25070430	97	+	4	0,97
SNORD116-9	chr15	25056858	97	+	3	0,97
SNORD116-9	chr15	25073105	97	+	3	0,97
SNORD116-10	chr15	25074112	104	+	3	0,104
SNORD116-11	chr15	25075927	94	+	3	0,94
SNORD116-12	chr15	25077049	94	+	3	0,94
SNORD116-13	chr15	25079056	94	+	4	0,94
SNORD116-14	chr15	25080140	94	+	4	0,94
SNORD116-15	chr15	25081285	94	+	3	0,94
SNORD116-16	chr15	25082766	94	+	3	0,94
SNORD116-17	chr15	25083586	94	+	3	0,94
SNORD116-17	chr15	25086525	94	+	3	0,94
SNORD116-18	chr15	25085383	94	+	5	0,94
SNORD116-20	chr15	25087660	94	+	4	0,94
SNORD116-21	chr15	25088802	94	+	4	0,94
SNORD116-22	chr15	25089921	94	+	4	0,94
SNORD116-23	chr15	25091784	94	+	3	0,94
SNORD116-24	chr15	25094035	94	+	4	0,94
SNORD116-25	chr15	25097661	94	+	3	0,94
SNORD115-2	chr15	25172634	82	+	7	0,82
SNORD116-26	chr15	25099497	98	+	4	0,98
SNORD116-27	chr15	25101573	94	+	4	0,94
SNORD115-3	chr15	25174926	82	+	7	0,82
SNORD115-4	chr15	25176831	82	+	7	0,82
SNORD115-5	chr15	25178737	82	+	7	0,82
SNORD115-5	chr15	25185633	79	+	7	0,79
SNORD115-5	chr15	25191418	79	+	7	0,79
SNORD115-6	chr15	25180496	82	+	7	0,82
SNORD115-7	chr15	25182384	82	+	7	0,82
SNORD115-8	chr15	25184305	82	+	7	0,82
SNORD115-9	chr15	25178740	79	+	7	0,79
SNORD115-9	chr15	25185630	82	+	7	0,82
SNORD115-9	chr15	25191415	82	+	7	0,82
SNORD115-10	chr15	25178740	79	+	7	0,79
SNORD115-10	chr15	25185630	82	+	7	0,82
SNORD115-10	chr15	25187535	81	+	7	0,81
SNORD115-10	chr15	25191415	82	+	7	0,82
SNORD115-10	chr15	25247344	82	+	7	0,82
SNORD115-11	chr15	25189413	82	+	7	0,82
SNORD115-11	chr15	25223245	82	+	7	0,82
SNORD115-11	chr15	25236084	82	+	7	0,82
SNORD115-11	chr15	25249197	82	+	7	0,82
SNORD115-12	chr15	25178740	79	+	7	0,79
SNORD115-12	chr15	25185630	82	+	7	0,82
SNORD115-12	chr15	25191415	82	+	7	0,82
SNORD115-13	chr15	25193320	82	+	7	0,82
SNORD115-14	chr15	25194920	81	+	7	0,81
SNORD115-15	chr15	25197575	81	+	7	0,81
SNORD115-15	chr15	25247344	82	+	7	0,82
SNORD115-16	chr15	25199447	82	+	7	0,82
SNORD115-17	chr15	25201322	82	+	7	0,82
SNORD115-17	chr15	25203226	82	+	7	0,82
SNORD115-17	chr15	25204356	82	+	7	0,82
SNORD115-18	chr15	25201322	82	+	7	0,82
SNORD115-18	chr15	25203226	82	+	7	0,82
SNORD115-18	chr15	25204356	82	+	7	0,82
SNORD115-19	chr15	25201322	82	+	7	0,82
SNORD115-19	chr15	25203226	82	+	7	0,82
SNORD115-19	chr15	25204356	82	+	7	0,82
SNORD115-20	chr15	25206261	82	+	7	0,82
SNORD115-21	chr15	25206261	26207	+	7	0,25,26126,56
SNORD115-21	chr15	25243613	82	+	7	0,82
SNORD115-21	chr15	25247344	82	+	7	0,82
SNORD115-22	chr15	25209917	82	+	7	0,82
SNORD115-23	chr15	25211795	82	+	7	0,82
SNORD115-25	chr15	25215540	82	+	7	0,82
SNORD115-26	chr15	25218616	82	+	7	0,82
SNORD115-29	chr15	25189413	82	+	7	0,82
SNORD115-29	chr15	25223245	82	+	7	0,82
